,word,translation
269,browngray,adj
270,pallet,n
271,coloring,
272,traditionally,adv
273,matches,vt
274,nicely,adv
275,realistic,adj
276,arrow,n
277,shows,vt
278,confidence,n
279,vibe,n
280,timid,adj
281,fierce,adj
282,organization,n
283,german,n
284,practical,adj
285,visually,adv
286,ragtag,n
287,group,n
288,strange,adj
289,fun,n
290,play,n
291,menacing,adj
292,snobby,adj
293,clean,adj
294,refined,adj
295,fighter,n
296,moreover,adv
297,archery,n
298,practice,n
299,understated,adj
300,opposed,adj
301,hard,adj
302,beat,n
303,dual,adj
304,wield,v
305,arrows,n
306,man,n
307,provides,vt
308,versatility,n
309,slightly,adv
310,still,n
311,ascetic,n
312,next,n
313,top,n
314,creepy,adj
315,eye,n
316,scouter,n
317,thing,n
318,wearing,adj
319,research,n
320,scientific,adj
321,help,n
322,enhance,vt
323,fight,n
324,ranged,adj
325,stealth,n
326,struck,adj
327,comes,
328,uses,United
329,else,adj
330,strikes,
331,frontlines,n
332,solider,n
333,mikael,
334,captured,
335,id,n
336,works,n
337,firearm,n
338,unnatural,adj
339,okay,n
340,rational,adj
341,calculating,
342,archtype,n
343,hero,n
344,warrior,n
345,personalities,n
346,poses,n
347,dress,n
348,ranked,adj
349,followed,
350,finally,adv
351,picks,
352,reasonable,adj
353,hear,vt
354,goes,vbl
355,mold,n
356,manner,n
357,subdued,adj
358,details,n
359,general,n
360,back,adj
361,crime,n
362,boss,n
363,larger,adj
364,life,n
365,accurate,adj
366,depiction,n
367,sense,n
368,ability,n
369,charming,adj
370,charismatic,adj
371,unafraid,adj
372,mixing,n
373,athletic,adj
374,reminiscent,adj
375,assassin,n
376,video,n
377,games,n
378,assasins,n
379,usually,adv
380,tend,vi
381,faces,n
382,wear,vt
383,darker,adj
384,proper,adj
385,theyre,
386,close,v
387,covering,n
388,whole,n
389,everyone,pron
390,sees,
391,fire,n
392,hidden,vbl
393,secretive,adj
394,costume,n
395,exactly,adv
396,suits,n
397,following,n
398,mentioned,
399,appear,vi
400,holsters,
401,sheaths,
402,specialize,vi
403,assassination,n
404,violenced,
405,ready,adj
406,holding,n
407,knife,n
408,backc,
409,violence,n
410,large,adj
411,machine,n
412,descriptiona,n
413,high,n
414,class,n
415,carrying,adj
416,guns,n
417,reflects,vt
418,main,n
419,small,adj
420,allow,vt
421,fast,adj
422,time,n
423,bigger,adj
424,easier,a
425,notice,n
426,awesome,adj
427,popped,adj
428,matrix,n
429,neo,adj
430,obvious,adj
431,exemplifies,vt
432,blades,n
433,huge,adj
434,boots,n
435,rather,adv
436,stealthy,adj
437,covered,adj
438,shadow,n
439,hair,n
440,footwear,n
441,needs,vt
442,agile,adj
443,flat,adj
444,heels,n
445,dangerous,adj
446,logical,adj
447,moody,adj
448,natural,adj
449,demeanor,n
450,conveys,vt
451,visual,adj
452,done,adj
453,clear,adj
454,winner,n
455,bs,
456,perfectly,adj
457,becuse,
458,level,n
459,ninja,n
460,jive,n
461,black,n
462,latinas,
463,representation,
464,characteristic,ally//adv
465,alone,adj
466,different,adj
467,favorite,n
468,equipped,v
469,attitude,n
470,bearing,n
471,fortitude,n
472,handle,n
473,crisis,n
474,capable,adj
475,experienced,v
476,witching,adj
477,rest,n
478,bewitching,adj
479,represents,vt
480,appearance,n
481,interested,adj
482,learning,n
483,badass,adj
484,im,
485,subtle,adj
486,avoid,vt
487,noticed,
488,generally,adv
489,assassins,n
490,mad,adj
491,elaborate,adj
492,looked,
493,keywords,n
494,open,n
495,engaging,adj
496,feels,
497,actually,adv
498,wasnt,
499,behind,adv
500,lack,n
501,charcter,
502,biggest,adj
503,factor,n
504,cookie,n
505,bewithcing,
506,personaloty,
507,descriptions,
508,fill,vt
509,portion,n
510,stories,n
511,course,n
512,fetched,adj
513,coolness,n
514,choose,v
515,pictured,
516,image,n
517,given,adj
518,text,n
519,per,prep
520,reflect,v
521,photo,n
522,reader,n
523,controller,n
524,swan,n
525,market,n
526,owns,
527,world,n
528,dare,n
529,touch,n
530,charm,n
531,side,n
532,power,n
533,broker,n
534,give,n
535,berth,n
536,dealing,n
537,within,n
538,terms,n
539,job,n
540,potentially,adv
541,getting,
542,serious,adj
543,cookies,n
544,descriptioni,
545,neither,adj
546,screams,
547,might,v
548,TRUE,
549,graphic,adj
550,sexy,adj
551,term,n
552,version,n
553,sex,n
554,appeal,n
555,cold,n
556,blooded,adj
557,quite,adv
558,lab,n
559,rat,
560,inspired,adj
561,gets,
562,ass,n
563,killer,n
564,latin,n
565,american,n
566,stereotypical,
567,earrings,
568,set,v
569,wish,n
570,shown,vbl
571,fearless,adj
572,sportier,
573,slim,adj
574,displayed,
575,aligns,
576,tone,n
577,ethnicity,n
578,stated,adj
579,lethal,adj
580,least,adj
581,lacks,
582,stylized,
583,portrayal,n
584,armed,adj
585,poor,adj
586,otherwise,adv
587,bland,adj
588,ugly,adj
589,shiny,adj
590,sticks,
591,heavy,adj
592,slow,adj
593,gunner,n
594,appears,
595,full,n
596,colorful,adj
597,unobstructed,adj
598,shes,
599,america,n
600,similar,adj
601,qualities,
602,neutral,n
603,scheme,n
604,european,adj
605,profile,n
606,mask,n
607,annoys,
608,settler,n
609,fremen,
610,dune,n
611,spends,
612,clothed,
613,fancy,adj
614,mysterious,adj
615,appearing,
616,threatening,adj
617,says,
618,isnt,
619,worried,adj
620,altered,
621,abilities,
622,enhanced,
623,assess,vt
624,situations,
625,assassinate,vt
626,cocky,adj
627,yet,adv
628,able,adj
629,turn,n
630,bewitch,vt
631,flow,n
632,parts,
633,strike,n
634,speedy,adj
635,specialist,n
636,flowing,adj
637,tough,n
638,intricacies,
639,alright,adv
640,hairstyle,n
641,blade,n
642,hand,n
643,jacket,n
644,air,n
645,genuine,adj
646,intellect,n
647,witty,adj
648,characteristics,
649,intelligent,adj
650,disciplined,n
651,sophisticated,adj
652,classy,adj
653,wise,adj
654,robe,n
655,doctor,n
656,product,n
657,encourage,vt
658,hope,n
659,gray,n
660,suit,v
661,adds,
662,periodescription,
663,sad,adj
664,clearly,adv
665,scar,n
666,red,n
667,exudes,
668,leadership,n
669,tells,
670,strong,adj
671,rich,adj
672,socialite,n
673,politician,n
674,reminds,
675,independent,n
676,woman,n
677,politics,n
678,humans,
679,champion,n
680,attributes,
681,wants,
682,support,vt
683,crazy,adj
684,husband,n
685,donate,v
686,another,adj
687,half,n
688,injured,adj
689,three,num
690,eyes,
691,anyway,adv
692,stately,adj
693,bathrobe,n
694,casual,adj
695,equality,n
696,human,n
697,rights,
698,glasses,n
699,scream,v
700,teacher,n
701,perfect,n
702,depicts,
703,couragious,
704,professional,n
705,angle,n
706,trying,adj
707,focus,n
708,pleasant,adj
709,leadera,
710,positive,adj
711,leaderb,
712,wealth,n
713,closely,adv
714,theres,
715,struggle,n
716,things,
717,designed,adj
718,displaying,
719,necessary,n
720,chose,vbl
721,creep,vi
722,arms,n
723,cut,v
724,realize,vt
725,angled,adj
726,saying,n
727,seeing,n
728,attire,n
729,grey,adj
730,long,adj
731,compliments,
732,leader,n
733,figure,
734,dr,n
735,accomplished,adj
736,steady,adj
737,savvy,v
738,special,n
739,prominent,adj
740,important,adj
741,regent,n
742,normal,n
743,housewife,n
744,terrible,adj
745,scarring,
746,opposite,adj
747,accurately,adv
748,around,adv
749,left,adj
750,injury,n
751,require,vt
752,transplant,v
753,depict,vt
754,burn,v
755,credibility,n
756,younger,n
757,firm,n
758,probably,adv
759,evaluating,vbl
760,peoples,
761,expressions,
762,th,
763,sadness,n
764,lost,adj
765,learn,vi
766,aged,adj
767,tired,adj
768,stupid,adj
769,garish,adj
770,muted,
771,lovers,
772,hide,n
773,leaderc,
774,elements,n
775,align,vi
776,contrast,vt
777,blue,n
778,equal,adj
779,pops,
780,cost,n
781,drive,n
782,mrs,[__
783,gold,n
784,upper,adj
785,truthfully,adv
786,jumped,
787,concept,n
788,pieces,
789,lacked,
790,felt,n
791,slight,adj
792,edge,n
793,plays,
794,tied,v
795,wouldnt,
796,consider,vt
797,almost,adv
798,allows,
799,words,
800,greater,adj
801,data,n
802,measure,n
803,attach,vt
804,detailed,adj
805,information,n
806,fully,adv
807,basis,n
808,writing,n
809,every,adj
810,pulls,
811,deciding,vbl
812,already,adv
813,including,vbl
814,backstory,
815,stoey,
816,old,adj
817,lady,n
818,skills,
819,mostly,adv
820,soft,adj
821,caring,
822,age,n
823,showing,n
824,throw,n
825,approachable,adj
826,tad,n
827,trusting,adj
828,typical,adj
829,older,adj
830,embody,vt
831,portray,v
832,stability,n
833,calm,adj
834,thin,adj
835,believable,adj
836,described,
837,history,n
838,hugh,
839,heffner,
840,disheveled,adj
841,burned,
842,untouched,adj
843,seasoned,adj
844,formally,adv
845,regal,adj
846,compliment,n
847,wording,n
848,minister,n
849,complex,adj
850,individual,n
851,meshes,
852,happy,adj
853,drink,n
854,embodies,
855,likes,
856,fool,n
857,basing,
858,breaking,n
859,funny,adj
860,find,vt
861,sports,adj
862,smile,vi
863,laugh,vi
864,jokes,
865,supposed,adj
866,thinks,
867,playboy,n
868,dresses,
869,knew,vbl
870,dudes,
871,day,n
872,elegant,adj
873,cthis,
874,shabby,adj
875,thug,n
876,gangster,n
877,necklaces,
878,shoes,n
879,tattoos,
880,head,n
881,hang,n
882,break,n
883,legs,n
884,authentic,adj
885,eyecatching,
886,drug,n
887,baggy,adj
888,conceal,vt
889,fashionable,adj
890,horrible,adj
891,dealers,
892,personally,adv
893,know,v
894,try,n
895,keep,n
896,mixed,v
897,company,n
898,failure,n
899,imagine,vt
900,extravagant,adj
901,sells,
902,sounding,n
903,super,n
904,bright,adj
905,conspicuous,adj
906,green,n
907,likeable,adj
908,mediocre,adj
909,understands,
910,gamer,
911,language,n
912,stereotype,n
913,dealer,n
914,creativity,n
915,inline,
916,persona,n
917,wealthy,adj
918,drugdealer,
919,vein,n
920,nonmatching,
921,unkempt,
922,puttogether,
923,lead,vt
924,believe,v
925,money,n
926,nondescript,adj
927,cannot,conj
928,identify,vt
929,gangthemed,
930,mobile,adj
931,game,n
932,styles,
933,attract,vt
934,profiles,
935,enjoy,vt
936,strip,vt
937,club,n
938,humor,n
939,fact,n
940,timeless,adj
941,tougher,
942,camo,
943,kid,n
944,preferences,n
945,comic,n
946,relief,n
947,scary,adj
948,silliest,
949,goofiest,
950,stick,n
951,jonah,n
952,hill,n
953,laid,vbl
954,real,adj
955,stuff,n
956,talk,v
957,sometimes,adv
958,work,n
959,undercover,adj
960,cop,n
961,ranking,n
962,friendliest,
963,sleazy,adj
964,cs,n
965,gave,vbl
966,intelligence,n
967,versus,prep
968,new,adj
969,exciting,adj
970,assume,vt
971,adventurous,adj
972,lime,n
973,plus,prep
974,smartest,
975,follows,
976,footsteps,
977,intimidating,
978,moment,adj
979,expierence,
980,fuller,n
981,douche,n
982,rank,n
983,highest,
984,upscale,adj
985,free,adj
986,hardened,adj
987,lord,n
988,mix,v
989,friendly,adj
990,edgy,adj
991,sale,n
992,authority,n
993,voted,
994,completely,adv
995,met,vbl
996,party,n
997,college,n
998,clubs,
999,youd,
1000,hangs,
1001,helps,
1002,emphasize,vt
1003,kidfriendly,
1004,toughness,n
1005,showy,adj
1006,anything,pron
1007,anyone,pron
1008,elses,
1009,opinions,
1010,role,n
1011,playing,
1012,embracing,
1013,portrays,
1014,lavish,adj
1015,spender,n
1016,switch,n
1017,ruthless,adj
1018,impress,vt
1019,approach,n
1020,without,prep
1021,overdone,vbl
1022,common,adj
1023,remember,vt
1024,catching,adj
1025,beave,
1026,terrific,adj
1027,experience,n
1028,interestedd,
1029,physically,adv
1030,worlda,
1031,dislike,vt
1032,feete,
1033,worn,adj
1034,worldh,
1035,boring,n
1036,dirt,n
1037,basic,
1038,nothing,n
1039,stands,
1040,attractiveg,
1041,unrealistic,adj
1042,interestedf,
1043,postapocalyptic,
1044,fightingc,
1045,extremely,adv
1046,fantasy,n
1047,sexual,adj
1048,future,n
1049,events,n
1050,zombie,n
1051,pause,n
1052,technological,adj
1053,progress,n
1054,terribly,adv
1055,ankle,n
1056,bracelet,n
1057,removed,adj
1058,acceptable,adj
1059,dark,n
1060,sexually,adv
1061,posing,
1062,reason,n
1063,cyber,
1064,punk,n
1065,barbarian,n
1066,germanic,adj
1067,gothic,n
1068,samurai,n
1069,swords,
1070,short,n
1071,asis,
1072,intensity,n
1073,represented,
1074,sleek,adj
1075,feature,n
1076,gadgets,
1077,brunette,
1078,blonde,adj
1079,selling,n
1080,sexualizing,
1081,whats,
1082,adventure,n
1083,remind,vt
1084,tomb,n
1085,raider,n
1086,tight,adj
1087,pants,n
1088,ha,int
1089,skinny,adj
1090,barbie,
1091,doll,n
1092,sexualized,
1093,remotely,adv
1094,caricature,n
1095,early,adj
1096,fighting,adj
1097,partner,n
1098,useful,adj
1099,comfortable,adj
1100,pragmatic,adj
1101,appeared,(vbl
1102,ensemble,n
1103,battle,n
1104,zombies,
1105,worry,n
1106,possibly,adv
1107,goals,
1108,criteria,n
1109,equipment,n
1110,carry,n
1111,impractical,adj
1112,couldnt,
1113,tire,n
1114,taken,vbl
1115,quickly,adv
1116,portraying,
1117,encounter,v
1118,along,adv
1119,apocalyptic,adj
1120,grittiness,n
1121,determination,n
1122,innocent,adj
1123,feeling,n
1124,environment,n
1125,edg,
1126,matter,n
1127,pure,adj
1128,attraction,n
1129,takes,
1130,cake,n
1131,conventionally,adv
1132,idealized,
1133,unusual,adj
1134,additional,adj
1135,highlight,n
1136,remaining,
1137,certain,adj
1138,fakery,n
1139,exaggerated,adj
1140,plain,n
1141,weird,adj
1142,attractiveness,
1143,optimal,adj
1144,sexiest,
1145,hottest,adj
1146,fishnets,
1147,belly,n
1148,shirt,n
1149,cleavage,n
1150,purple,adj
1151,striking,adj
1152,caught,vbl
1153,simplicity,n
1154,tighter,
1155,tightest,
1156,flawless,adj
1157,total,n
1158,babe,n
1159,element,n
1160,adding,vbl
1161,making,n
1162,belong,vi
1163,setting,n
1164,focused,
1165,particular,n
1166,allbusiness,
1167,police,n
1168,underneath,adv
1169,created,adj
1170,sequences,
1171,sets,
1172,user,n
1173,gameplay,
1174,usage,n
1175,apps,
1176,reach,n
1177,officers,
1178,grabbed,
1179,situation,n
1180,lean,n
1181,sexier,
1182,dystopian,adj
1183,gas,
1184,breathe,v
1185,ripped,adj
1186,fishnet,n
1187,stockings,
1188,homemade,adj
1189,wears,
1190,hip,n
1191,demeaning,
1192,women,n
1193,objects,
1194,unappealing,adj
1195,females,
1196,may,aux
1197,innocence,n
1198,mystery,n
1199,unassuming,adj
1200,entire,adj
1201,arsenal,n
1202,means,n
1203,step,n
1204,wrong,adj
1205,equally,adv
1206,widow,n
1207,dn,
1208,polished,adj
1209,girl,n
1210,mean,adj
1211,army,n
1212,vs,prep
1213,dancer,n
1214,found,v
1215,copwoman,
1216,hot,adj
1217,model,n
1218,decisions,
1219,stances,
1220,addition,n
1221,tried,adj
1222,came,vbl
1223,became,vbl
1224,breasts,
1225,bait,n
1226,start,n
1227,scifi,
1228,busy,adj
1229,home,n
1230,starship,
1231,boarding,n
1232,team,n
1233,fall,n
1234,apart,adv
1235,doubt,n
1236,stay,n
1237,fail,vi
1238,detail,n
1239,rough,adj
1240,wash,n
1241,rinse,v
1242,repeat,n
1243,dirty,adj
1244,slayer,
1245,listen,vi
1246,thats,
1247,absolutely,adv
1248,point,n
1249,skimpy,adj
1250,tits,
1251,allure,v
1252,margin,n
1253,suitable,adj
1254,verve,n
1255,excitement,n
1256,nearly,adv
1257,officer,n
1258,realism,n
1259,entertaining,adj
1260,interest,n
1261,spoiled,
1262,big,adj
1263,instead,adv
1264,yes,adv
1265,hypersexualized,
1266,ridiculous,adj
1267,shorts,n
1268,decked,
1269,considered,adj
1270,besides,adv
1271,therefore,adv
1272,physical,adj
1273,tie,n
1274,took,vbl
1275,breaker,n
1276,models,
1277,relatable,
1278,resonates,
1279,kinda,adv
1280,immodest,adj
1281,trendy,n
1282,shooting,n
1283,gatling,n
1284,hotter,adj
1285,wicked,adj
1286,somewhere,adv
1287,rugged,adj
1288,girls,
1289,bulky,adj
1290,players,
1291,engaged,adj
1292,excited,_´å_
1293,curves,
1294,liar,n
1295,middle,n
1296,bordering,
1297,laura,n
1298,croftesque,
1299,couple,n
1300,didnt,
1301,practically,adv
1302,mech,
1303,fantastical,adj
1304,extent,n
1305,gravitate,v
1306,towards,prep
1307,overly,adv
1308,tones,
1309,humanlooking,
1310,sassy,adj
1311,survive,v
1312,energetic,adj
1313,bodily,adj
1314,possess,vt
1315,firepowers,
1316,lively,adj
1317,kitanas,
1318,wastelander,
1319,fourth,num
1320,dedication,n
1321,bizarre,adj
1322,sexiness,n
1323,goal,n
1324,defga,
1325,upon,prep
1326,aesthetic,adj
1327,illustrative,adj
1328,draw,v
1329,follow,vt
1330,haircut,n
1331,brown,n
1332,rendered,
1333,count,v
1334,headgear,n
1335,costumeoutfit,
1336,postapocolyptic,
1337,attracted,
1338,survivor,n
1339,imagining,
1340,suited,adj
1341,space,n
1342,usual,adj
1343,tattered,adj
1344,bold,adj
1345,whereas,conj
1346,policewoman,n
1347,ed,n
1348,turned,
1349,themself,
1350,survival,n
1351,prepared,adj
1352,original,adj
1353,scenario,n
1354,visible,adj
1355,heck,n
1356,brunettes,
1357,bleach,v
1358,limited,adj
1359,resources,
1360,kick,v
1361,butt,n
1362,styling,
1363,hassome,
1364,keeping,n
1365,mind,n
1366,beyond,prep
1367,drawn,vbl
1368,eight,adj
1369,seductive,adj
1370,avatar,n
1371,visibly,adv
1372,feminine,adj
1373,overtly,adv
1374,helpful,adj
1375,progression,n
1376,happen,vi
1377,society,n
1378,falls,
1379,versions,
1380,available,adj
1381,today,adv
1382,add,vt
1383,genre,n
1384,bottom,n
1385,excite,vt
1386,grab,v
1387,intense,adj
1388,lends,
1389,nature,n
1390,boobs,
1391,butts,
1392,lowest,adj
1393,expected,
1394,scantily,adv
1395,clad,vt
1396,keira,
1397,knightly,adj
1398,sp,
1399,curvy,adj
1400,cartoonish,
1401,ladies,n
1402,wth,
1403,higher,adj
1404,survivors,
1405,read,v
1406,unreasonable,adj
1407,proportions,
1408,odd,adj
1409,gaming,n
1410,massive,adj
1411,backsides,
1412,standing,adj
1413,hips,
1414,viewer,n
1415,bullets,
1416,amazing,adj
1417,prompt,n
1418,fifth,adj
1419,decent,adj
1420,sixth,num
1421,speaking,n
1422,cyberpunk,è®
1423,seventh,num
1424,points,
1425,overdesigned,
1426,outrageous,adj
1427,defying,
1428,reality,n
1429,magazine,n
1430,grabbing,vbl
1431,chance,n
1432,vivid,adj
1433,sky,n
1434,castle,n
1435,complaint,n
1436,cliffs,
1437,raised,adj
1438,outline,n
1439,trees,
1440,fake,n
1441,purpose,n
1442,outlining,
1443,areabackground,
1444,actual,adj
1445,area,n
1446,graphics,n
1447,sharper,n
1448,coloration,n
1449,brings,
1450,visit,n
1451,showed,
1452,solid,n
1453,layers,
1454,depth,n
1455,brighter,
1456,building,n
1457,prominently,adv
1458,naturalness,n
1459,outlined,
1460,legitimate,adj
1461,artsy,adj
1462,paper,n
1463,outlines,
1464,stylish,adj
1465,lighter,n
1466,lighting,n
1467,grabs,
1468,away,adv
1469,shading,n
1470,angles,
1471,challenging,
1472,quality,n
1473,alternative,n
1474,vibrant,adj
1475,distant,adj
1476,mountains,
1477,rocks,
1478,opponent,adj
1479,highlights,
1480,center,n
1481,backgrounds,
1482,artificial,adj
1483,mache,
1484,buildings,
1485,shadowing,
1486,dramatic,adj
1487,distracting,
1488,lightingshading,
1489,shadows,
1490,edges,
1491,pop,n
1492,vegetation,n
1493,scenery,n
1494,landscape,n
1495,immersive,
1496,outside,n
1497,many,n
1498,height,n
1499,tree,n
1500,accent,n
1501,webpage,
1502,priority,n
1503,playlists,
1504,cutout,n
1505,props,n
1506,richens,
1507,scene,n
1508,cast,n
1509,creates,
1510,challenges,
1511,difference,n
1512,border,n
1513,balanced,adj
1514,clearer,adj
1515,highlighted,adj
1516,added,adj
1517,complete,adj
1518,crisper,n
1519,cleaner,n
1520,rigid,adj
1521,lines,
1522,leaves,n
1523,confusing,
1524,concrete,adj
1525,entirely,adv
1526,consistent,adj
1527,stroking,
1528,effect,n
1529,easiest,adj
1530,brightness,n
1531,differences,
1532,minute,n
1533,barely,adv
1534,noticeable,adj
1535,skies,
1536,contrasts,
1537,enlarged,
1538,cannon,n
1539,rated,adj
1540,textures,
1541,crisp,adj
1542,blurry,adj
1543,mess,n
1544,played,
1545,extra,adj
1546,sun,n
1547,pleasing,adj
1548,obstacles,
1549,light,n
1550,shinning,
1551,wall,n
1552,amount,n
1553,brick,n
1554,ads,
1555,textured,adj
1556,rock,n
1557,lower,adj
1558,brightens,
1559,region,n
1560,st,
1561,ball,n
1562,weathered,
1563,blocks,
1564,daytime,n
1565,texture,n
1566,gamea,
1567,appealingb,
1568,flatter,vt
1569,bricks,
1570,cleanest,
1571,designing,n
1572,users,
1573,evergreen,adj
1574,stone,n
1575,sharp,n
1576,daynight,
1577,cycle,n
1578,identical,adj
1579,indepth,
1580,tear,n
1581,watercolor,æ°´å½©_
1582,artstyle,
1583,remain,vi
1584,cohesive,adj
1585,divets,
1586,provide,v
1587,definition,n
1588,playable,adj
1589,artistic,adj
1590,aesthetically,adv
1591,impressive,adj
1592,strongest,
1593,immersion,n
1594,distracted,adj
1595,challenge,n
1596,move,n
1597,implemented,
1598,reaslistic,
1599,involving,vbl
1600,effects,n
1601,engulfed,
1602,names,
1603,describes,
1604,war,n
1605,insect,n
1606,invaders,
1607,exodus,
1608,imagery,n
1609,lets,
1610,near,adj
1611,entropy,n
1612,rate,n
1613,provocative,adj
1614,secondmost,
1615,thirdmost,
1616,fourthmost,
1617,fifthmost,
1618,ae,
1619,come,vi
1620,complicated,adj
1621,bd,
1622,title,n
1623,representative,n
1624,signifies,
1625,year,n
1626,knowing,adj
1627,plot,n
1628,descript,
1629,existing,[è®
1630,series,n
1631,cause,n
1632,confusion,n
1633,project,n
1634,nostos,
1635,meaning,n
1636,surrounding,n
1637,word,n
1638,returning,
1639,homeland,n
1640,biblical,adj
1641,sci,
1642,fi,[__
1643,earth,n
1644,ring,n
1645,mesh,n
1646,straightforward,dly//adv
1647,check,n
1648,days,n
1649,bet,n
1650,combination,n
1651,cheesy,adj
1652,signals,
1653,descent,n
1654,chaos,n
1655,disorder,n
1656,successive,adj
1657,wave,n
1658,enemies,
1659,become,vi
1660,difficult,adj
1661,chaotic,adj
1662,epic,n
1663,action,n
1664,packed,
1665,namec,
1666,pattern,n
1667,catchya,
1668,raw,n
1669,classical,adj
1670,favor,n
1671,titles,
1672,curious,adj
1673,wondering,adj
1674,involves,
1675,nearish,
1676,companion,n
1677,later,adj
1678,memorable,adj
1679,sounded,
1680,grammar,n
1681,ties,n
1682,vague,adj
1683,uninspired,adj
1684,instance,n
1685,jump,n
1686,must,aux
1687,us,pron
1688,lesser,adj
1689,immediately,adv
1690,nearfuture,
1691,excellently,
1692,weaker,
1693,weak,adj
1694,tongue,n
1695,choppy,adj
1696,forced,adj
1697,appropriate,adj
1698,impactful,adj
1699,strategic,adj
1700,enticing,adj
1701,evocative,adj
1702,send,vt
1703,invading,
1704,insects,
1705,letting,n
1706,,adj
1707,believed,
1708,reflected,adj
1709,defending,
1710,base,n
1711,narrative,adj
1712,effective,adj
1713,broad,adj
1714,scope,n
1715,concise,adj
1716,projected,
1717,leaving,n
1718,coming,n
1719,end,n
1720,understand,v
1721,mde,
1722,dozen,n
1723,ripoff,n
1724,metro,n
1725,novel,n
1726,elicits,
1727,manes,n
1728,mostthe,
1729,ambiguous,adj
1730,leave,n
1731,travel,v
1732,contrary,adj
1733,intriguing,adj
1734,returner,
1735,sifi,
1736,according,adv
1737,judging,
