,Gender Identity,Income Range,Racial Or Ethnic Identity,Education Level,Age Range,Favorite Mobile Gaming Genres,Mobile Gaming Frequency,Explanation
44,Male,$0-30k,White,Bachelor's Degree,25-34,Sports,Monthly,Choice A is the one that I really fits the description the best because I like the eye scouter thing that he is wearing as it fits to me with him being a research and scientific genius that he would want something like that to help enhance him when he has to fight. I also feel like the outfit fits the best for someone who seems like they would fight at ranged stealth. Choice B is second because the wrist crossbow struck me as a weapon that someone who is a genius would have made and would be the only one to use. His look also comes off as being someone with his personality. Choice D is third because I like that he uses the crossbow like the first two as that fits with the character to me but everything else does not fit. His outfit and stance here does not strikes me as socially anxious genius. Choice C is last because I do not like that he uses a gun and his look here comes off more like he would be a frontlines solider as opposed to a scientist.
45,Male,$61-100k,Asian,Graduate Degree,35-44,Casino; Simulation; Adventure; Trivia; Sports,Daily,The character of Mikael looks fitting for option D the most. Great with the bow there. This is a unique look and think that is captured well in option D. I'd go with that as the better choice overall. I think that works out well for the character here. Option C is not bad but they have a firearm which I think is not as fit for him. Option A has a strange and unnatural look with the gun and crossbow. Option B is okay but not sure about that outfit.
46,Male,$31-60k,White,High School,35-44,Action; Adventure,Rarely,"B fits the ""shy but rational and calculating"" archtype. The others all look too much like hero or warrior personalities based o their poses and style of dress."
47,Male,$61-100k,Asian,Graduate Degree,25-34,Action; Adventure; Arcade; Racing; Sports,Daily,I ranked the designs of the Mikael character that I liked the most.  I liked the double crossbows of option A the most followed by the design of the character of option D followed by option B and then finally option C.
48,Male,$31-60k,White,High School,35-44,Casino; Adventure; Arcade; Action; Role Playing,Daily,"My top 2 picks seem like they would be reasonable designs based on the type of character he is, and the weapons he uses would likely fit his personality."
49,Male,$0-30k,White,Bachelor's Degree,35-44,Action; Adventure; Strategy; Role Playing; Simulation,Daily,"A seems like the best hear. I feel like the weapon goes with the biological more than the others. B, D, and C all have weapons that don't really fit the mold of someone who is shy and uses biological weapons."
50,Male,$31-60k,White,Bachelor's Degree,25-34,Sports; Strategy; Arcade; Adventure; Action,Daily,i think the character in option B most fits with the description and i like her manner of dress
51,Male,$101k+,White,Bachelor's Degree,35-44,Racing; Arcade; Board; Adventure; Action,Daily,"This design has a very subdued but also overall very powerful look to her because of her face details, outfit and general pose."
52,Male,$101k+,White,Bachelor's Degree,35-44,Puzzle; Card; Board,Daily,Ranked in order of the look and style that I feel most goes with her back story. She a bit of a crime boss now so she has to be dynamic and larger than life
53,Male,$31-60k,Asian,Bachelor's Degree,35-44,Action; Arcade; Role Playing; Sports,Daily,B is the more accurate depiction of the character description. I sense that this character has more personality than the other ones and has more ability to be charming and charismatic.
54,Male,$61-100k,Other,Bachelor's Degree,25-34,Adventure,Weekly,"I most prefer option D. This character really seems like a warrior and is unafraid of mixing it up with the best of them. They are attractive, but also very athletic."
55,Male,$0-30k,Hispanic,Vocational Training,25-34,Strategy; Role Playing; Action,Never,"Her outfit is very reminiscent of an assassin I have seen in other video games, and her weapon fits the theme well."
56,Male,$61-100k,White,Graduate Degree,35-44,Adventure; Board; Card; Casino,Weekly,Assasins usually tend not to show their faces and wear darker clothing.  Choice C shows the proper gun an assassin would use.
57,Male,$61-100k,White,Graduate Degree,35-44,Adventure; Strategy; Role Playing,Daily,"They're all pretty close, but I think C fits the best with the face covering.  The whole everyone who sees me fire a gun thing is way over the top, so I think it has to be someone who looks hidden or secretive."
58,Male,$61-100k,White,Bachelor's Degree,35-44,Word; Puzzle; Family; Educational; Card,Weekly,I prefer option b because i feel her costume and her personality exactly suits the following character which was mentioned above
59,Male,$0-30k,White,High School,25-34,Action; Adventure; Puzzle; Word; Music,Weekly,"B, the character's stance looks confident, and they appear to holsters, or sheaths, this makes the character fit very well with the description that they specialize in assassination and are unafraid of violence.D, the character looks like they are ready for a fight based on how they are holding the knife and they appear to have more weapons on their back.C, this character looks very ready for violence based on the large machine gun on their back, this fits well with the description.A, the character looks a little too high class, they also don't appear to be carrying four guns."
60,Male,$61-100k,Black,Bachelor's Degree,25-34,Adventure; Action; Role Playing; Strategy; Simulation,Daily,"I like option B the best because the character is dressed in a way that reflects her use of guns as her main weapon.  What I like are that the guns she has in her holsters are small, which would allow for her to be fast and use 4 guns at one time."
61,Male,$61-100k,White,Associate Degree,35-44,Puzzle; Trivia,Rarely,I like option C because the weapons are bigger and easier to notice.
62,Male,$61-100k,White,Graduate Degree,35-44,Trivia; Puzzle; Educational; Board; Action,Weekly,"all of these are really nice, 1just looks awesome, she looks a bit like she popped out of the matrix with Neo. she has the most obvious weapons and looks the most deadly.  2 really exemplifies her blades the most and i think more assassin. not a huge fan of the boots in 2 just because they look rather hard to fight and be stealthy in. 3 and 4 are nice, but 3 is a bit too covered up. 4 the shadow seems part of her hair, which is the case in 2 and 3 a bit too."
63,Male,$101k+,White,Bachelor's Degree,35-44,Puzzle; Sports; Strategy,Daily,"The footwear is what stand out most to me because she needs to be athletic and agile, so flat boots fit much better than heels.  I also like that her weapons aren't as obvious, which would make her more dangerous."
64,Male,$31-60k,White,Bachelor's Degree,35-44,Sports; Role Playing; Arcade; Adventure; Action,Daily,"Based on the character description, Option A is the most logical match. The character gives off vibes that they dont care about violence, and can be moody. Their natural demeanor conveys that. The visual designs are well done."
65,Male,$61-100k,Black,Bachelor's Degree,35-44,Adventure; Racing; Strategy; Action; Simulation,Daily,Option B is the clear winner of the four choices. Option B's design fits the description perfectly in my opinion.
66,Male,$61-100k,White,Bachelor's Degree,35-44,Adventure; Arcade; Puzzle; Role Playing; Strategy,Weekly,"I think C and D are best becuse they show guns and look more like an assassin character. To me B looks like a generic high level soldier and A looks like a ninja, both of which dont jive with the description."
67,Male,$61-100k,White,Graduate Degree,35-44,Action; Adventure; Strategy; Trivia; Word,Rarely,"I prefer choice B. I like that black Latinas get some representation. On that characteristic alone, it makes her look more unique and interesting, I also like her hair, which looks cool and different."
68,Male,$31-60k,White,Bachelor's Degree,35-44,Action; Adventure; Casino; Music; Sports,Daily,Option A is my favorite because this character is equipped and also has an attitude and bearing that conveys strength and fortitude and the ability to handle herself in any crisis.
69,Male,$101k+,White,Bachelor's Degree,25-34,Simulation; Sports; Action; Role Playing,Daily,I think that c looks the most athletic and capable. They look like someone who is experienced and dangerous.
70,Male,$0-30k,White,Associate Degree,35-44,Action; Puzzle; Strategy,Daily,I think A fits the best with the witching part. I think the rest of the description fits well for all of them but when it comes to bewitching that__ the one.
71,Male,$0-30k,White,Bachelor's Degree,25-34,Trivia; Strategy,Never,I feel that option A best represents the description and has a cool appearance.  THe design is cool and makes me interested in learning more
72,Male,$0-30k,White,Bachelor's Degree,35-44,Strategy; Puzzle,Rarely,"D looks most like a badass assassin. I love A's outfit but i'm not sure it's subtle enough to avoid being noticed, which is not generally great for assassins. C looks like a sniper which is still fitting. B looks more like a mad scientist."
73,Male,$101k+,White,Bachelor's Degree,25-34,Simulation; Sports; Strategy; Adventure; Action,Monthly,"I liked option D because the outfit was a little less elaborate, and also the character looked athletic"
74,Male,$101k+,White,Graduate Degree,35-44,Adventure; Action; Strategy; Role Playing; Simulation,Daily,"Based on the keywords of being charming and having a bewitching personality, I like b best. The character pose seems open and engaging."
75,Male,$31-60k,White,High School,25-34,Strategy; Word; Puzzle; Action,Daily,"A feels like the best option here since I can actually see the blades on her back. I also really like the design of her. Out of the 4 choices, she fit it the best. Option D wasn't bad, but it was definitely far behind A in my opinion. The other 2 aren't very great and they lack personality in my opinion."
76,Male,$61-100k,Asian,Bachelor's Degree,21-24,Card; Strategy; Simulation; Adventure; Action,Daily,"The description matches the art style for charcter A the most, the biggest factor is that Cookie is an assassin and that she has a bewithcing personaloty and the style of choice A fits those descriptions the best. The other options fill in the assassin portion but not the personalities as much, Option C if too far from it."
77,Male,$101k+,White,Bachelor's Degree,35-44,Casino; Trivia; Word; Action; Arcade,Daily,The stories of course are all far fetched so I picked based on the coolness of each and which I__ like to play.
78,Male,$101k+,Black,Bachelor's Degree,25-34,Sports; Racing; Puzzle; Adventure; Action,Daily,I would choose choice C first because of the outfit of the person pictured above because the description best suits the person then I would choose choice D which has a better image which matches the descriptions given on the text then choice A which is not really attractive as per the image and also the description given in the context do not reflect the person in the image and the last choice will be B which gives the person in the photo a high level of description which is not really appealing to the reader.
79,Male,$101k+,Asian,Bachelor's Degree,35-44,Word; Strategy; Role Playing; Adventure; Action,Daily,"Going by the character description where Cookie is a controller of the Black Swan Market, C feels like one of those powerful characters that owns part of the world. It has the look and confidence that no one would dare touch her. She has the look that she could charm you to her side. Definitely gives a power broker vibe and one that you give a wide berth when dealing with.In terms of the assassin part of her bio, I think D looks the best. This the look of an assassin that does her job but at the same time can potentially charm you into not getting in the way. C feels too serious which is good for an assassin but less so for Cookie's description.I don't think B fits that well. The outfit neither screams powerful or assassin. Potentially, it might be ""the true person behind those in power""."
80,Male,$31-60k,Asian,Graduate Degree,25-34,Trivia; Strategy; Simulation; Role Playing; Action,Daily,"I choose D because the graphic design of the character is visually attractive and creative as well, compared to other options"
81,Male,$61-100k,White,Graduate Degree,35-44,Action; Arcade; Role Playing; Strategy; Puzzle,Weekly,"Last place choice was easy the description of the character does not really say ""sexy"" to me (other than the term bewitching) but this version of the character does have sex appeal.  This character seems more like a cold blooded character.  The third place character does not quite get it either, it looks more of a lab rat type character with the coat that seems to be inspired by a lab coat.  The first place choice gets it perfectly, the character looks like a bad ass cold blooded killer."
82,Male,$61-100k,Hispanic,Bachelor's Degree,25-34,Strategy; Sports; Action; Role Playing; Racing,Daily,A. Has a great Latin American stereotypical look going on with the earrings and their appearance. Also looks fierce with outfit as well as the choice of weapons. D. Great Latin American look and also has a great set of weapons.  The look is not as good as A though. B. Can pass for the Latin American look but I wish the weapons were shown more. C. Not really a great Latin American look and I dont like the face being covered since they are fearless in the bio.
83,Male,$31-60k,White,Bachelor's Degree,25-34,Arcade; Card; Educational; Puzzle; Music,Daily,This sounds like someone who would be sportier all together and overall would be on the slim side as well
84,Male,$31-60k,White,Bachelor's Degree,35-44,Strategy; Role Playing; Simulation; Action; Adventure,Weekly,It's  her posture.  It fits the confidence displayed in the description better than the others. The others look less fitting
85,Male,$61-100k,White,Bachelor's Degree,35-44,Strategy; Puzzle; Adventure,Daily,I like option A because she has a badass outfit. I think her description definitely aligns as well. I also think her hair and body look really sexy.
86,Male,$101k+,White,Bachelor's Degree,35-44,Strategy; Trivia,Daily,I think option A is best because the skin tone of the character best matches the ethnicity stated.
87,Male,$31-60k,White,Bachelor's Degree,25-34,Action; Puzzle; Trivia; Strategy,Weekly,"I prefer the ones that seem more realistic and less ""over the top"" in design"
88,Male,$101k+,White,Bachelor's Degree,35-44,Action; Sports; Adventure; Strategy; Role Playing,Daily,"D looks the most like a fast, lethal assassin. B looks at least somewhat like an assassin but lacks the stylized hair of D that I think fits better. I also think B's portrayal of someone armed with 4 guns is poor. A looks like an assassin but otherwise the design is bland and ugly, especially the shiny coat that sticks out too much. C is my least favorite as the character looks too much like a heavy, slow gunner because of the large gun and not enough like a fast assassin."
89,Male,$101k+,White,Graduate Degree,35-44,Arcade; Action; Adventure,Daily,I like Option C because she appears to be carrying a menacing weapon. The other options don__ even appear to have small weapons.
90,Male,$31-60k,White,High School,35-44,Adventure; Simulation; Strategy; Trivia; Role Playing,Daily,"the female character in D is the most appealing to me, I think she seems powerful but not too full of herself"
91,Male,$101k+,White,High School,35-44,Simulation; Strategy; Puzzle,Weekly,"A is colorful and her face is unobstructed.  She looks like she's from Latin America.  B has similar qualities, but the neutral clothing color scheme is less interesting.  D looks ok, but the hair style makes me think European.  C doesn't look like she fits the profile at all, and the mask annoys me."
92,Male,$31-60k,White,High School,35-44,Action; Adventure,Rarely,"To me, picture D fits the character best. B and C are sort of ok but B looks more like a settler or fremen on Dune than an assassin, C looks like she spends more time on her hair than her guns, and A is clothed in too fancy and pretty of clothes. D looks practical but deadly."
93,Male,$101k+,White,Bachelor's Degree,35-44,Action; Strategy; Simulation,Rarely,"I really like the appearance of C, I think she conveys the character the most in being mysterious and appearing threatening. I like the poses of the characters, I do not like the clothes on A or B much. I don't think they fit the menacing image as well."
94,Male,$0-30k,White,Bachelor's Degree,25-34,Sports,Monthly,"Choice D is the one that I like the best in terms of the design fitting with the description because she looks like she would be an athletic assassin here. The look and color of her outfit says to me that she can be stealthy but isn't worried about getting into a fight if she has to. She looks really athletic here as well and seems altered to give her abilities that are enhanced. Choice B is second because the eye scouter thing that she has seems like it would help her assess situations to assassinate. She seems like she is cocky and unafraid yet would be able to turn it on to bewitch if she had to. Her outfit has a flow to it that works for her. Choice A is third because while it is parts of the look that fit with her being charming, moody and unafraid of violence she did not strike as being as athletic or fast here as the first two choices. Choice C is last because her look here seems like she would be more like a solider as opposed to a speedy, athletic assassination specialist."
95,Male,$61-100k,Asian,Graduate Degree,25-34,Action; Adventure; Arcade; Racing; Sports,Daily,"I ranked the designs of the character ""Cookie"" that I liked the most.  I liked the style of option C the most followed by the design of option B then option D and then finally option A."
96,Male,$61-100k,Asian,Graduate Degree,35-44,Casino; Simulation; Adventure; Trivia; Sports,Daily,Great image in option B and love the flowing hair. That looks like an assassin there. I think that image represents her very well. Options A and D are not bad with the look here and she is tough. Love the intricacies of the outfit. Option C is alright too but would pretty to see a great hairstyle.
97,Male,$31-60k,White,High School,35-44,Casino; Adventure; Arcade; Action; Role Playing,Daily,"My top pick matches the description the best, especially with that name, which can't seem too tough based on her appearance."
98,Male,$31-60k,Black,High School,25-34,Puzzle,Daily,The name and ethnicity match this character design perfectly. You can also see here guns and she is holding a blade in her hand which is stated in the description.
99,Male,$0-30k,White,Bachelor's Degree,35-44,Action; Adventure; Strategy; Role Playing; Simulation,Daily,I feel like C is the best. I feel it shows she is ready for violence.  She can be a good assassin with the weapons she is carrying. I don't really like the rest the weapons are not that great.
100,Male,$31-60k,White,Bachelor's Degree,25-34,Sports; Strategy; Arcade; Adventure; Action,Daily,i think the character in option A most fits the description on the side and i like her jacket
101,Male,$101k+,White,Bachelor's Degree,35-44,Racing; Arcade; Board; Adventure; Action,Daily,I love this characters bio and her overall look as she has an air of being a genuine intellect and very witty with a lot going on.
102,Male,$61-100k,Other,Bachelor's Degree,25-34,Adventure,Weekly,I most prefer option A. I love her personality and characteristics as she seems more intelligent and disciplined.
103,Male,$31-60k,Asian,Bachelor's Degree,35-44,Action; Arcade; Role Playing; Sports,Daily,C is the one I prefer because this character has the more sophisticated and classy look. They seem to be a wise character. B is not as good because their jacket looks like a robe or something. A is not as interesting because their clothing makes me think more of a doctor.
104,Male,$101k+,Asian,Bachelor's Degree,25-34,Educational,Daily,This product pictures best fit with description side in most beautiful attractive with person in looking is smart and the encourage in hope in person in very cute in this picture
105,Male,$61-100k,Asian,Bachelor's Degree,21-24,Educational,Daily,This product pictures best fit with description side in most beautiful attractive with person in looking is smart and the encourage in hope in person
106,Male,$61-100k,White,Graduate Degree,35-44,Trivia; Puzzle; Educational; Board; Action,Weekly,I like the Gray suit I think it adds a nice bit to the description periodescription. I think it's very sad but I think you can clearly see the scar in both this picture in red dress. All of these are well done though
107,Male,$101k+,White,Bachelor's Degree,35-44,Puzzle; Card; Board,Daily,I feel like option C exudes the most leadership and her face tells a strong background story. Option A has a strong doctor vibe. Option B feels more like a rich socialite than a politician
108,Male,$0-30k,Hispanic,Vocational Training,25-34,Strategy; Role Playing; Action,Never,"Her outfit reminds me of a strong, powerful independent woman who works in politics."
109,Male,$61-100k,White,Graduate Degree,35-44,Adventure; Board; Card; Casino,Weekly,Choice A looks more like a humans right champion.   Her clothing and other attributes of appearance looks more like she wants to support the people.
110,Male,$61-100k,White,Graduate Degree,35-44,Adventure; Strategy; Role Playing,Daily,"The description is pretty crazy.  Why would her husband donate his eye, since she appears to have another good one as only half her face was injured? Did he have three eyes?  Anyway, C seems the most stately.  The doctor theme doesn't seem to be in the description, and the bathrobe looking one is too casual."
111,Male,$61-100k,White,Bachelor's Degree,35-44,Word; Puzzle; Family; Educational; Card,Weekly,I prefer option b first because i feel like she is strong personality and her character is all about equality and human rights
112,Male,$0-30k,White,Less than High School Diploma,35-44,Card; Role Playing; Adventure; Strategy; Arcade,Monthly,"Something about the lab coat she is wearing and those glasses scream a Professor or Teacher, I feel it fits in perfect with her theme."
113,Male,$61-100k,Black,Bachelor's Degree,25-34,Adventure; Action; Role Playing; Strategy; Simulation,Daily,I like option B the best because the image depicts her dressed in a way that makes her look like strong couragious person.
114,Male,$61-100k,White,Associate Degree,35-44,Puzzle; Trivia,Rarely,I like option A because the character looks more professional with the jacket on.
115,Male,$0-30k,White,High School,25-34,Action; Adventure; Puzzle; Word; Music,Weekly,"C, the angle that the character has their face makes it look like they are trying to not focus on their scar, the color of their coat also looks pleasant and makes them look like someone with that is a leader.A, the overall posture and appearance looks very confident and serious, their clothing also looks positive and makes them look like a leader.B, the coat looks like they are a person of wealth, however their stance looks less confident and it makes me less interested."
116,Male,$31-60k,White,Bachelor's Degree,35-44,Sports; Role Playing; Arcade; Adventure; Action,Daily,"Option C most closely matches the character description. Theres a sense of struggle in the characters demeanor, like they have been through things. They are well designed, and capable of displaying the necessary emotion."
117,Male,$31-60k,White,High School,35-44,Card; Adventure; Strategy; Role Playing; Simulation,Daily,Honestly I chose A because it's the only picture that does not kind of creep me out.  The other two look very strange with the arms cut off the way they are.  I realize that A has that too but it is angled so it does not look like it as much.
118,Male,$61-100k,Black,Bachelor's Degree,35-44,Adventure; Racing; Strategy; Action; Simulation,Daily,I think Option C is the best fit for the description out of the three choices. The look of Option C really captures what the description is saying. Especially seeing the different eye color.
119,Male,$0-30k,Black,High School,21-24,Strategy; Sports,Monthly,I think option C has the best attire for the description because that grey long coat compliments the story very well. B is second to the first option because it fits the description more than A.
120,Male,$101k+,White,Bachelor's Degree,35-44,Adventure; Role Playing; Strategy,Daily,C looks like a leader and fits the description best.  B just looks like a generic figure.  A looks like a dr.
